,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
288,Fairbanks,US,1596815788,64.84,-147.72,53.6,93,90,1.03
289,Nago,JP,1596815788,26.59,127.98,84.2,79,1,8.05
290,Castelo Branco,PT,1596815788,39.82,-7.49,100.99,22,0,1.01
291,Shubarshi,KZ,1596815788,48.59,57.19,78.91,39,85,12.06
292,Bako,ET,1596815788,5.78,36.57,65.37,91,100,2.77
293,Vardø,NO,1596815788,70.37,31.11,53.6,87,75,5.82
294,Summerville,US,1596815788,33.02,-80.18,89.01,66,1,3.76
295,Tyrma,RU,1596815788,50.08,132.17,50.38,87,61,2.59
296,Bambous Virieux,MU,1596815788,-20.34,57.76,69.8,73,40,6.93
297,Batagay-Alyta,RU,1596815788,67.8,130.41,52.38,88,94,3.87
298,Aklavik,CA,1596815789,68.22,-135.01,55.4,93,75,5.82
299,Camopi,GF,1596815789,3.17,-52.32,90.95,48,8,4.5
300,Pilar,BR,1596815789,-9.6,-35.96,78.8,65,75,11.41
301,Karachi,PK,1596815712,24.91,67.08,80.6,94,90,11.41
302,Zeya,RU,1596815789,53.75,127.27,53.98,74,95,2.48
303,Palmer,US,1596815702,42.16,-72.33,73.99,68,75,5.82
304,Samarai,PG,1596815789,-10.62,150.67,78.42,86,100,9.28
305,Lagos,NG,1596815717,6.58,3.75,80.6,74,75,8.05
306,Ryōtsu-minato,JP,1596815789,38.08,138.43,71.6,94,90,2.24
307,Henties Bay,NA,1596815789,-22.12,14.28,63.0,73,0,3.0
308,Carnarvon,AU,1596815790,-24.87,113.63,60.8,72,13,6.69
309,Ouésso,CG,1596815790,1.61,16.05,83.77,61,92,1.66
310,Kibondo,TZ,1596815790,-3.59,30.72,77.25,27,11,3.96
311,Beringovskiy,RU,1596815790,63.05,179.32,50.05,91,100,13.76
312,Laishevo,RU,1596815790,55.4,49.55,73.4,46,51,15.66
313,Maceió,BR,1596815703,-9.67,-35.74,78.8,65,75,11.41
314,Basco,PH,1596815790,20.45,121.97,84.85,75,19,19.3
315,Concepción del Oro,MX,1596815790,24.63,-101.42,66.69,60,1,5.59
316,Kungurtug,RU,1596815790,50.6,97.52,47.32,77,49,1.77
317,Talcahuano,CL,1596815790,-36.72,-73.12,48.2,66,75,4.7
318,Trat,TH,1596815791,12.5,102.5,84.99,74,99,1.92
319,Taoudenni,ML,1596815791,22.68,-3.98,114.19,12,14,8.32
320,Nemuro,JP,1596815791,43.32,145.57,66.29,70,100,17.98
321,Sainte-Marie,RE,1596815791,-20.9,55.55,68.0,64,49,5.82
322,Lumding,IN,1596815791,25.75,93.17,79.07,94,100,4.23
323,Whitehorse,CA,1596815681,60.72,-135.05,48.2,76,75,11.41
324,Bachaquero,VE,1596815791,9.97,-71.15,88.83,63,85,6.78
325,Kabanjahe,ID,1596815791,3.1,98.49,80.6,94,40,4.32
326,Acaraú,BR,1596815791,-2.89,-40.12,88.11,43,13,16.02
327,Vallenar,CL,1596815792,-28.57,-70.76,75.31,32,0,5.17
328,Kyrenia,CY,1596815721,35.34,33.32,98.6,25,0,20.8
329,Sítio Novo do Tocantins,BR,1596815792,-5.52,-47.46,96.46,25,0,7.94
330,San Nicolas,PH,1596815792,18.17,120.6,78.8,100,40,3.36
331,Sabaudia,IT,1596815792,41.3,13.03,86.0,50,15,4.0
332,Sampit,ID,1596815792,-2.53,112.95,74.55,96,71,2.35
333,Kavaratti,IN,1596815792,10.57,72.64,82.6,80,100,19.93
334,Gurupi,BR,1596815792,-11.73,-49.07,90.18,27,0,9.6
335,Khatanga,RU,1596815792,71.97,102.5,57.87,79,99,8.99
336,Basay,PH,1596815793,9.41,122.64,79.81,78,100,3.22
337,Tarbagatay,RU,1596815793,51.48,107.36,62.6,82,75,4.47
338,Bud,US,1596815793,39.45,-86.18,75.99,50,1,9.17
339,Kahului,US,1596815716,20.89,-156.47,78.8,74,1,13.87
340,Burns Lake,CA,1596815793,54.23,-125.75,47.89,79,95,5.12
341,Ballarat,AU,1596815793,-37.57,143.85,46.0,95,100,10.69
342,Zhezkazgan,KZ,1596815793,47.8,67.71,70.36,68,100,13.82
343,Evensk,RU,1596815793,61.95,159.23,52.5,74,1,4.14
344,Cherskiy,RU,1596815793,68.75,161.3,42.93,90,99,8.84
345,Sangmélima,CM,1596815793,2.93,11.98,79.21,60,88,3.96
346,Mehamn,NO,1596815794,71.04,27.85,55.4,76,75,13.87
347,Berbera,SO,1596815794,10.44,45.01,90.41,57,70,10.56
348,Río Gallegos,AR,1596815495,-51.62,-69.22,41.0,44,60,16.11
349,Abu Samrah,SY,1596815794,35.3,37.18,93.06,21,0,14.27
350,Molina,CL,1596815794,-35.12,-71.28,42.8,87,75,5.82
351,College,US,1596815794,64.86,-147.8,53.6,87,75,3.36
352,Pacific Grove,US,1596815794,36.62,-121.92,59.0,92,42,5.37
353,Port-Cartier,CA,1596815794,50.03,-66.87,73.4,56,75,11.41
354,Cap Malheureux,MU,1596815794,-19.98,57.61,64.99,85,52,5.01
355,Ellisras,ZA,1596815795,-23.66,27.74,60.8,52,82,19.95
356,Masuguru,TZ,1596815795,-11.37,38.42,84.22,27,5,2.8
357,Inhambane,MZ,1596815795,-23.86,35.38,68.0,56,75,19.46
358,Udachny,RU,1596815795,66.42,112.4,60.8,77,35,6.71
359,Takoradze,GH,1596815795,4.88,-1.76,76.5,74,100,11.81
360,Haines Junction,CA,1596815795,60.75,-137.51,48.6,66,100,3.09
361,Preobrazheniye,RU,1596815795,42.9,133.91,64.8,87,24,8.75
362,Granada,ES,1596815616,37.19,-3.61,104.0,15,20,14.99
363,Hamilton,US,1596815795,39.18,-84.53,75.99,60,40,10.29
364,Atoka,US,1596815796,34.4,-96.02,86.0,62,1,4.7
365,Traverse City,US,1596815796,44.76,-85.62,77.0,44,1,4.7
366,Olafsvik,IS,1596815796,64.89,-23.71,48.43,87,100,19.28
367,Quincy,US,1596815796,42.25,-71.0,78.01,56,100,4.7
368,Bantogon,PH,1596815796,6.53,124.03,78.96,71,100,7.4
369,Port Augusta,AU,1596815796,-32.5,137.77,44.6,100,40,8.05
370,Pundaguitan,PH,1596815796,6.37,126.17,82.47,75,100,9.78
371,Barranca,PE,1596815507,-10.75,-77.77,63.57,70,60,6.78
372,Kalmunai,LK,1596815796,7.42,81.82,84.13,66,100,4.9
373,Havelock,US,1596815796,34.88,-76.9,84.99,83,1,6.93
374,Satipo,PE,1596815796,-11.25,-74.64,84.9,41,9,3.09
375,Warri,NG,1596815797,5.52,5.75,81.66,59,99,7.76
376,Te Anau,NZ,1596815797,-45.42,167.72,35.53,88,65,3.87
377,Rahimatpur,IN,1596815797,17.6,74.2,73.02,87,84,11.07
378,Aurangabad,IN,1596815797,19.88,75.33,80.6,78,40,6.93
379,Mahibadhoo,MV,1596815797,3.78,72.97,83.97,78,100,13.89
380,Bandarbeyla,SO,1596815797,9.49,50.81,79.48,69,9,37.45
381,Hobyo,SO,1596815797,5.35,48.53,77.68,77,42,32.35
382,Innisfail,AU,1596815797,-17.53,146.03,72.79,92,95,2.13
383,Tatishchevo,RU,1596815797,51.67,45.6,72.32,67,56,9.86
384,Avallon,FR,1596815797,47.48,3.9,89.2,36,0,8.48
385,Soyo,AO,1596815797,-6.13,12.37,77.0,73,75,9.17
386,Pozhva,RU,1596815797,59.09,56.08,64.45,83,90,7.76
387,Portel,BR,1596815797,-1.94,-50.82,93.36,38,10,5.21
388,Anloga,GH,1596815797,5.79,0.9,80.6,69,20,16.11
389,Jensen Beach,US,1596815721,27.25,-80.23,89.01,66,40,4.7
390,Milos,GR,1596815797,36.75,24.43,84.2,48,20,5.82
391,San Fernando del Valle de Catamarca,AR,1596815798,-28.47,-65.79,64.0,47,4,4.0
392,Nhulunbuy,AU,1596815798,-12.23,136.77,73.4,94,40,1.12
393,São José da Coroa Grande,BR,1596815798,-8.9,-35.15,78.89,68,27,14.0
394,Valle Hermoso,MX,1596815798,25.67,-97.83,90.0,79,75,9.17
395,Kumul,CN,1596815798,42.8,93.45,87.91,14,0,8.99
396,Luau,AO,1596815798,-10.71,22.22,83.07,16,0,3.02
397,Ahipara,NZ,1596815798,-35.17,173.17,54.59,74,33,19.42
398,Vanimo,PG,1596815798,-2.67,141.3,77.0,84,78,3.6
399,Karratha,AU,1596815798,-20.74,116.85,65.59,60,0,5.37
400,Tegul'det,RU,1596815798,57.31,88.17,63.45,92,97,2.64
401,Pompéu,BR,1596815798,-19.22,-44.94,77.95,33,0,6.04
402,Tabuk,PH,1596815798,17.42,121.44,75.27,86,76,2.95
403,Constitución,CL,1596815799,-35.33,-72.42,54.63,49,31,7.9
404,Ribeira Brava,PT,1596815799,32.65,-17.07,75.0,76,10,5.01
405,Varhaug,NO,1596815799,58.61,5.65,73.0,75,49,13.76
406,Codrington,AU,1596815799,-38.27,141.97,47.57,88,100,15.77
407,Verkhoyansk,RU,1596815799,67.54,133.38,56.35,87,100,5.82
408,Port Macquarie,AU,1596815667,-31.43,152.92,52.0,100,90,8.75
409,Port Moresby,PG,1596815799,-9.44,147.18,73.4,100,40,3.36
410,Acarí,PE,1596815799,-15.43,-74.62,73.6,36,36,7.83
411,Roald,NO,1596815799,62.58,6.13,66.99,82,75,6.93
412,Petrovice u Karviné,CZ,1596815799,49.9,18.55,87.01,42,4,1.99
413,Fort Nelson,CA,1596815799,58.81,-122.7,55.4,93,40,5.82
414,Ziro,IN,1596815799,27.63,93.83,63.32,100,99,1.77
415,Visby,SE,1596815613,57.64,18.3,80.01,56,3,9.17
416,Mokrousovo,RU,1596815799,55.81,66.77,69.4,62,0,6.35
417,Yerofey Pavlovich,RU,1596815800,53.97,121.97,55.58,88,100,6.73
418,Pokaran,IN,1596815800,26.92,71.92,95.61,48,68,7.72
419,Ţahţā,EG,1596815800,26.77,31.5,105.8,11,65,16.11
420,Saint-Augustin,CA,1596815800,51.23,-58.65,77.2,45,8,8.23
421,Ambilobe,MG,1596815800,-13.2,49.05,70.7,76,38,2.51
422,Geraldton,AU,1596815800,-28.77,114.6,53.6,76,73,11.41
423,Gore,NZ,1596815800,-46.1,168.94,37.99,89,63,4.0
424,Nicolás Bravo,MX,1596815800,18.45,-88.92,84.2,83,75,9.17
425,Xifeng,CN,1596815800,42.74,124.72,65.77,86,37,4.18
426,Makhinjauri,GE,1596815800,41.67,41.69,80.6,74,75,2.53
427,Acajutla,SV,1596815800,13.59,-89.83,75.0,100,20,2.24
428,Contamana,PE,1596815800,-7.33,-75.02,92.01,33,6,4.97
429,Nanortalik,GL,1596815800,60.14,-45.24,47.05,74,100,8.43
430,Praia da Vitória,PT,1596815800,38.73,-27.07,75.2,64,75,9.98
431,Pachino,IT,1596815801,36.72,15.09,84.99,51,0,15.68
432,Portland,US,1596815178,45.52,-122.68,62.01,87,20,5.82
433,Karla,EE,1596815801,59.37,24.93,71.6,64,88,6.93
434,Martapura,ID,1596815801,-3.42,114.85,77.0,94,3,1.12
435,Russell,US,1596815801,32.35,-85.2,87.01,70,20,4.07
436,Tokat,TR,1596815801,40.42,36.58,68.31,62,0,6.55
437,Limbe,CM,1596815801,4.02,9.21,82.4,78,75,4.7
438,Manokwari,ID,1596815801,-0.87,134.08,78.03,76,89,3.33
439,Margate,GB,1596815801,51.38,1.39,95.0,25,0,3.0
440,Yokadouma,CM,1596815801,3.52,15.05,82.53,61,99,2.71
441,Ust-Maya,RU,1596815801,60.42,134.53,54.3,65,42,0.87
442,Ndioum,SN,1596815801,16.51,-14.65,100.4,42,4,2.24
443,Ayr,GB,1596815801,55.46,-4.63,69.8,73,40,19.46
444,Mérida,MX,1596815599,20.97,-89.62,88.0,78,75,9.17
445,Xushan,CN,1596815802,30.18,121.25,88.0,66,100,6.71
446,Monzón,ES,1596815802,41.91,0.19,99.0,23,0,5.82
447,Yacuiba,BO,1596815802,-22.04,-63.68,80.56,28,24,9.75
448,Mapiripán,CO,1596815802,2.89,-72.13,84.74,63,34,3.98
449,Mazamari,PE,1596815802,-11.33,-74.53,83.82,43,21,2.1
450,Kampot,KH,1596815802,10.62,104.18,82.4,83,40,6.93
451,Salinas,US,1596815585,36.68,-121.66,62.6,77,90,6.93
452,Teluk Nibung,ID,1596815802,3.0,99.82,78.98,90,95,4.03
453,San Cristobal,VE,1596815516,7.77,-72.22,84.2,54,40,23.04
454,Necochea,AR,1596815574,-38.55,-58.74,51.01,75,70,8.01
455,Nazarovo,RU,1596815802,56.01,90.39,60.66,91,100,4.65
456,Upington,ZA,1596815802,-28.45,21.26,66.2,17,0,5.82
457,Coahuayana Viejo,MX,1596815803,18.73,-103.68,77.0,78,5,0.63
458,Adrar,MR,1596815803,20.5,-10.07,106.66,13,0,13.58
459,Mount Gambier,AU,1596815803,-37.83,140.77,50.0,76,90,23.04
460,Baruun-Urt,MN,1596815803,46.68,113.28,62.04,81,68,2.73
461,Pastos Bons,BR,1596815803,-6.6,-44.08,90.36,30,0,10.74
462,Santa Maria,BR,1596815803,-29.68,-53.81,71.6,68,0,8.05
463,Ulkan,RU,1596815803,57.24,107.32,66.79,64,39,5.44
464,Tignère,CM,1596815803,7.37,12.65,71.08,91,95,1.61
465,Gao,ML,1596815803,16.64,1.64,90.66,49,66,21.88
466,Taltal,CL,1596815803,-25.4,-70.48,62.73,60,23,4.5
467,Honiara,SB,1596815506,-9.43,159.95,73.4,94,75,3.36
468,São Félix do Xingu,BR,1596815803,-6.64,-51.99,94.69,28,0,5.91
469,San Miguel de Cozumel,MX,1596815804,20.51,-86.95,87.8,70,75,11.41
470,Gurun,MY,1596815804,5.82,100.47,82.4,83,20,0.65
471,Calvià,ES,1596815804,39.57,2.51,86.0,51,0,12.75
472,Mozarlândia,BR,1596815804,-14.74,-50.57,89.71,24,0,10.33
473,Steinbach am Taunus,DE,1596815804,50.17,8.57,93.2,24,0,5.82
474,Panguna,PG,1596815804,-6.32,155.48,68.79,100,100,1.03
475,Urucará,BR,1596815804,-2.54,-57.76,95.79,35,0,6.02
476,Fallon,US,1596815804,39.47,-118.78,73.99,35,1,13.87
477,Muros,ES,1596815804,42.78,-9.06,86.0,39,0,13.0
478,Andenes,NO,1596815804,69.31,16.12,59.0,77,82,5.82
479,Sinnamary,GF,1596815804,5.38,-52.95,84.15,67,88,6.67
480,Madang,PG,1596815804,-5.22,145.8,75.47,89,69,3.2
481,Ishigaki,JP,1596815804,24.34,124.16,84.33,78,24,14.52
482,Turukhansk,RU,1596815804,65.82,87.98,58.48,75,17,2.26
483,Natal,BR,1596815768,-5.79,-35.21,82.4,61,40,18.34
484,Jijiga,ET,1596815805,9.35,42.8,69.78,69,99,3.76
485,Shirokiy,RU,1596815805,49.76,129.52,56.35,92,59,4.21
486,Arequipa,PE,1596815733,-16.4,-71.53,66.2,9,0,9.17
487,Altay,CN,1596815805,47.87,88.12,62.8,46,0,4.38
488,Salalah,OM,1596815805,17.02,54.09,80.6,83,90,11.41
489,Roebourne,AU,1596815805,-20.78,117.13,65.95,60,0,6.06
490,Sumbe,AO,1596815805,-11.21,13.84,72.12,80,24,8.63
491,Oussouye,SN,1596815805,12.48,-16.55,87.8,83,40,6.93
492,Nueva Imperial,CL,1596815805,-38.73,-72.95,46.4,81,67,2.24
493,Rotifunk,SL,1596815805,8.23,-12.68,72.77,95,100,4.74
494,Pandan,PH,1596815805,14.05,124.17,77.9,88,100,16.62
495,Mersing,MY,1596815806,2.43,103.84,80.6,94,1,5.82
496,Mahon,ES,1596815806,39.89,4.27,82.4,65,0,5.82
497,Alugan,PH,1596815806,12.22,125.48,79.43,84,100,9.86
498,Rio Grande,BR,1596815806,-32.03,-52.1,66.2,77,90,6.93
499,Back Mountain,US,1596815638,41.34,-76.0,73.99,90,89,4.56
500,Camaná,PE,1596815806,-16.62,-72.71,64.02,60,45,7.67
501,Dalvik,IS,1596815806,65.97,-18.53,60.8,55,75,24.16
502,Jacareacanga,BR,1596815806,-6.22,-57.75,96.13,27,0,4.81
503,Salym,RU,1596815806,60.06,71.48,64.76,58,2,0.43
504,Santa Marta,CO,1596815738,11.24,-74.2,89.6,70,75,10.29
505,Safford,US,1596815806,32.83,-109.71,86.0,19,1,1.07
506,Calafell,ES,1596815763,41.2,1.57,88.0,100,0,11.05
507,Windhoek,NA,1596815518,-22.56,17.08,73.0,12,0,8.05
508,Nieves,PH,1596815807,15.33,120.95,76.89,91,100,3.85
509,Dingle,PH,1596815807,11.0,122.67,77.43,89,100,6.2
510,Tahoua,NE,1596815807,14.89,5.27,82.4,74,40,6.93
511,Severodvinsk,RU,1596815807,64.56,39.83,64.4,72,40,6.71
512,Takhatgarh,IN,1596815807,25.33,73.0,85.95,73,100,8.52
513,Le Port,RE,1596815807,-20.94,55.29,68.0,64,57,5.82
514,Kushima,JP,1596815807,31.46,131.23,78.01,94,3,8.01
515,Katobu,ID,1596815807,-4.94,122.53,73.6,87,30,4.74
516,Youghal,IE,1596815807,51.95,-7.85,73.99,73,20,11.41
517,Zapolyarnyy,RU,1596815807,69.42,30.81,57.2,71,75,12.75
518,Salinópolis,BR,1596815807,-0.61,-47.36,85.68,64,10,11.52
519,Destin,US,1596815807,30.39,-86.5,90.0,58,40,3.36
520,Vila Velha,BR,1596815808,-20.33,-40.29,77.0,61,75,10.29
521,Saint-Philippe,RE,1596815808,-21.36,55.77,69.8,68,90,3.36
522,Lasem,ID,1596815808,-6.69,111.45,75.99,76,100,8.61
523,Beloha,MG,1596815808,-25.17,45.05,64.11,79,1,5.82
524,Kandalaksha,RU,1596815808,67.16,32.41,63.21,76,100,4.88
525,Oistins,BB,1596815808,13.07,-59.53,87.8,70,20,21.92
526,Tocopilla,CL,1596815808,-22.09,-70.2,65.62,47,13,4.88
527,Broken Hill,AU,1596815808,-31.95,141.43,42.8,87,96,11.41
528,Impfondo,CG,1596815808,1.64,18.07,81.99,64,99,2.98
529,Boyolangu,ID,1596815808,-8.12,111.89,72.28,85,100,5.46
530,Ossora,RU,1596815808,59.24,163.07,54.55,67,56,7.02
531,Calvinia,ZA,1596815809,-31.47,19.78,56.28,32,0,9.84
532,Labuhan,ID,1596815809,-6.88,112.21,76.84,78,97,7.58
533,Xining,CN,1596815809,36.62,101.77,60.69,64,58,4.65
534,Yulara,AU,1596815809,-25.24,130.99,42.8,70,0,3.36
535,Além Paraíba,BR,1596815809,-21.89,-42.7,74.68,50,52,4.74
536,Naryan-Mar,RU,1596815809,67.67,53.09,55.22,81,91,8.5
537,Guerrero Negro,MX,1596815809,27.98,-114.06,73.89,60,0,9.86
538,Bandiagara,ML,1596815809,14.35,-3.61,86.0,66,20,16.11
539,Grand-Santi,GF,1596815809,4.25,-54.38,91.96,46,4,4.94
540,Inuvik,CA,1596815809,68.35,-133.72,55.4,82,75,8.05
541,Manyana,BW,1596815809,-23.4,21.72,65.12,25,0,5.57
542,Jambi City,ID,1596815693,-1.6,103.62,76.86,91,33,2.93
543,Tres Arroyos,AR,1596815810,-38.37,-60.28,55.26,43,66,8.55
544,Guasdualito,VE,1596815810,7.24,-70.73,78.8,88,75,3.36
545,Parrita,CR,1596815810,9.52,-84.32,75.2,73,75,12.75
546,Sal Rei,CV,1596815810,16.18,-22.92,84.2,66,40,13.87
547,Lakes Entrance,AU,1596815810,-37.88,147.98,50.0,89,100,1.99
548,Eslöv,SE,1596815810,55.84,13.3,84.2,39,17,12.75
549,Khandyga,RU,1596815810,62.67,135.6,56.07,48,0,2.91
550,Matara,LK,1596815810,5.95,80.54,78.64,87,99,8.93
551,São Gabriel da Cachoeira,BR,1596815810,-0.13,-67.09,78.8,88,90,2.24
552,São João da Barra,BR,1596815810,-21.64,-41.05,77.0,61,75,13.87
553,Balkanabat,TM,1596815810,39.51,54.37,81.01,43,0,14.61
554,Alice,US,1596815699,27.75,-98.07,87.8,70,40,10.29
555,Aranos,NA,1596815811,-24.13,19.12,63.07,26,0,6.02
556,Lexington,US,1596815811,37.99,-84.48,77.0,64,1,9.17
557,Sioux Lookout,CA,1596815749,50.1,-91.92,71.6,73,40,8.05
558,Fonte Boa,BR,1596815811,-2.5,-66.27,89.91,51,28,3.38
559,Newport,GB,1596815811,51.59,-3.0,82.99,61,29,4.54
560,Yantal',RU,1596815811,56.85,105.25,64.78,70,40,3.36
561,Kapit,MY,1596815811,2.02,112.93,76.15,85,45,0.89
562,Saint Anthony,US,1596815811,45.02,-93.22,75.2,73,20,13.87
563,Prior Lake,US,1596815694,44.71,-93.42,75.2,73,75,8.05
564,Qarayeri,AZ,1596815811,40.79,46.31,86.0,35,20,6.93
565,Chivay,PE,1596815811,-15.64,-71.6,58.12,28,0,2.93
566,Rawson,AR,1596815653,-43.3,-65.1,52.21,44,0,11.01
567,Ormara,PK,1596815811,25.21,64.64,83.48,86,100,8.79
568,Owando,CG,1596815811,-0.48,15.9,85.05,52,69,3.71
569,Kiryat Gat,IL,1596815761,31.61,34.76,87.01,55,0,1.01
570,Gwadar,PK,1596815812,25.12,62.33,84.43,81,100,8.12
571,Port Keats,AU,1596815812,-14.25,129.55,67.68,34,0,7.34
572,Anito,PH,1596815812,12.45,125.29,78.35,88,100,9.01
573,Zhuanghe,CN,1596815812,39.7,122.99,77.0,84,3,4.32
574,Sur,OM,1596815812,22.57,59.53,90.55,51,100,19.48
